img x1 y1 x2 y2
2693 4 5 193 145
2694 54 20 450 320
2695 105 77 577 373
2696 58 65 600 408
2697 61 0 379 300
2698 51 41 235 123
2699 17 29 231 157
2700 0 15 240 165
2701 0 0 266 200
2702 6 12 292 208
2703 10 6 196 133
2704 0 19 300 213
2705 0 13 340 236
2706 0 84 600 423
2707 0 0 300 225
2708 11 0 176 124
2709 0 8 380 285
2710 202 109 568 408
2711 10 20 304 216
2712 0 0 160 112
2713 0 15 188 241
2714 0 12 400 281
2715 0 0 171 120
2716 0 36 210 139
2717 17 0 148 120
2718 14 14 293 223
2719 42 30 420 233
2720 39 0 600 403
2721 16 12 191 151
2722 0 0 690 250
2723 0 0 420 250
2724 0 0 250 174
2725 0 0 280 210
2726 8 2 202 148
2727 11 26 247 179
2728 31 0 450 290
2729 16 14 180 128
2730 0 0 264 200
2731 0 63 294 266
2732 0 10 320 240
2733 0 0 440 330
2734 21 18 189 150
2735 20 3 244 175
2736 0 14 288 271
2737 0 0 245 173
2738 27 36 282 207
2739 28 0 207 150
2740 0 5 170 123
2741 28 57 301 241
2742 27 142 235 345
2743 34 31 331 270
2744 16 32 194 117
2745 20 20 391 278
2746 128 73 306 247
2747 0 24 180 126
2748 0 0 480 360
2749 14 0 280 187
2750 0 0 380 285
2751 16 10 148 121
2752 0 0 267 200
2753 0 0 264 200
2754 0 0 200 150
2755 0 60 210 263
2756 0 0 266 200
2757 0 0 160 139
2758 0 0 169 135
2759 0 31 250 200
2760 0 0 320 240
2761 53 132 356 347
2762 0 0 380 285
2763 0 0 250 187
2764 10 64 127 143
2765 17 20 208 140
2766 26 36 174 154
2767 0 32 380 244
2768 150 33 300 145
2769 357 142 626 315
2770 0 0 165 129
2771 16 14 210 144
2772 0 128 191 262
2773 19 77 185 198
2774 18 22 292 196
2775 2 18 242 168
2776 17 72 272 180
2777 0 0 200 152
2778 0 0 300 237
2779 0 0 182 135
2780 0 46 400 287
2781 33 31 175 151
2782 0 0 210 129
2783 36 36 280 206
2784 0 19 300 220
2785 114 172 467 399
2786 0 0 224 168
2787 0 0 270 180
2788 0 0 270 180
2789 33 0 404 238
2790 26 26 274 216
2791 0 48 144 180
2792 0 1 182 120
7304 79 28 399 285
9082 67 33 420 357
9247 0 66 360 394
9248 99 66 394 277
9251 85 115 447 303
9266 21 51 361 358
9276 0 24 361 357
9277 51 30 450 360
9313 103 46 390 325
10793 94 85 381 282
10795 69 100 439 310
10818 21 6 421 360
10933 0 0 360 480
10934 0 30 360 474
11010 55 55 384 318
11011 67 33 414 352
11042 105 48 381 331
11043 100 52 391 339
11679 173 66 679 498
11680 181 84 625 461
13708 158 20 488 248
13979 20 3 285 180
14715 17 4 306 178
14750 84 4 512 418
14772 100 24 592 420
15359 188 91 427 308
15384 60 51 422 330
15434 238 130 540 425
15616 15 53 515 302
15710 76 22 568 450
15711 118 24 522 357
15751 27 12 472 351
15754 18 27 472 335
15755 47 48 438 314
15860 36 0 560 450
16013 122 84 452 304
16273 70 6 557 388
