food_category,food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Fruit Juices,Acai Juice,100ml,58 cal,244 kJ,8 fl. oz. (240 ml),139 cal,586 kJ,1 fl. oz. (30 ml),17 cal,73 kJ
Fruit Juices,Aloe Vera,100ml,44 cal,185 kJ,8 fl. oz. (240 ml),106 cal,444 kJ,1 fl. oz. (30 ml),13 cal,56 kJ
Fruit Juices,Apple Juice,100ml,46 cal,193 kJ,8 fl. oz. (240 ml),110 cal,463 kJ,1 fl. oz. (30 ml),14 cal,58 kJ
Fruit Juices,Apricot Nectar,100ml,56 cal,235 kJ,8 fl. oz. (240 ml),134 cal,564 kJ,1 fl. oz. (30 ml),17 cal,71 kJ
Fruit Juices,Banana Juice,100ml,50 cal,210 kJ,8 fl. oz. (240 ml),120 cal,504 kJ,1 fl. oz. (30 ml),15 cal,63 kJ
Fruit Juices,Blackberry Juice,100ml,48 cal,202 kJ,8 fl. oz. (240 ml),115 cal,485 kJ,1 fl. oz. (30 ml),14 cal,61 kJ
Fruit Juices,Boysenberry Juice,100ml,54 cal,227 kJ,8 fl. oz. (240 ml),130 cal,545 kJ,1 fl. oz. (30 ml),16 cal,68 kJ
Fruit Juices,Capri-Sun,100ml,41 cal,172 kJ,1 capri-sun (200 ml),82 cal,344 kJ,1 fl. oz. (30 ml),12 cal,52 kJ
Fruit Juices,Carrot Juice,100ml,40 cal,168 kJ,8 fl. oz. (240 ml),96 cal,403 kJ,1 fl. oz. (30 ml),12 cal,50 kJ
Fruit Juices,Chamomile Tea,100ml,0 cal,0 kJ,8 fl. oz. (240 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Fruit Juices,Cherry Juice,100ml,45 cal,189 kJ,8 fl. oz. (240 ml),108 cal,454 kJ,1 fl. oz. (30 ml),14 cal,57 kJ
Fruit Juices,Clamato,100ml,60 cal,252 kJ,8 fl. oz. (240 ml),144 cal,605 kJ,1 fl. oz. (30 ml),18 cal,76 kJ
Fruit Juices,Coconut Milk,100ml,233 cal,979 kJ,8 fl. oz. (240 ml),559 cal,2350 kJ,1 fl. oz. (30 ml),70 cal,294 kJ
Fruit Juices,Coconut Water,100ml,19 cal,80 kJ,8 fl. oz. (240 ml),46 cal,192 kJ,1 fl. oz. (30 ml),6 cal,24 kJ
Fruit Juices,Concord Grape,100ml,71 cal,298 kJ,8 fl. oz. (240 ml),170 cal,715 kJ,1 fl. oz. (30 ml),21 cal,89 kJ
Fruit Juices,Cranberry Apple Juice,100ml,67 cal,281 kJ,8 fl. oz. (240 ml),161 cal,674 kJ,1 fl. oz. (30 ml),20 cal,84 kJ
Fruit Juices,Cranberry Grape Juice,100ml,71 cal,298 kJ,8 fl. oz. (240 ml),170 cal,715 kJ,1 fl. oz. (30 ml),21 cal,89 kJ
Fruit Juices,Cranberry Juice,100ml,46 cal,193 kJ,8 fl. oz. (240 ml),110 cal,463 kJ,1 fl. oz. (30 ml),14 cal,58 kJ
Fruit Juices,Cucumber Juice,100ml,10 cal,42 kJ,8 fl. oz. (240 ml),24 cal,101 kJ,1 fl. oz. (30 ml),3 cal,13 kJ
Fruit Juices,Currant Juice,100ml,48 cal,202 kJ,8 fl. oz. (240 ml),115 cal,485 kJ,1 fl. oz. (30 ml),14 cal,61 kJ
Fruit Juices,Energy-Drink,100ml,87 cal,365 kJ,12 fl. oz. (355 ml),309 cal,1296 kJ,1 fl. oz. (30 ml),26 cal,110 kJ
Fruit Juices,Fruitopia,100ml,110 cal,462 kJ,8 fl. oz. (240 ml),264 cal,1109 kJ,1 fl. oz. (30 ml),33 cal,139 kJ
Fruit Juices,Grape Juice,100ml,60 cal,252 kJ,8 fl. oz. (240 ml),144 cal,605 kJ,1 fl. oz. (30 ml),18 cal,76 kJ
Fruit Juices,Grapefruit Juice,100ml,46 cal,193 kJ,8 fl. oz. (240 ml),110 cal,463 kJ,1 fl. oz. (30 ml),14 cal,58 kJ
Fruit Juices,Lemon Juice,100ml,21 cal,88 kJ,8 fl. oz. (240 ml),50 cal,211 kJ,1 fl. oz. (30 ml),6 cal,26 kJ
Fruit Juices,Lemonade,100ml,50 cal,210 kJ,8 fl. oz. (240 ml),120 cal,504 kJ,1 fl. oz. (30 ml),15 cal,63 kJ
Fruit Juices,Lime Juice,100ml,21 cal,88 kJ,8 fl. oz. (240 ml),50 cal,211 kJ,1 fl. oz. (30 ml),6 cal,26 kJ
Fruit Juices,Limeade,100ml,128 cal,538 kJ,8 fl. oz. (240 ml),307 cal,1291 kJ,1 fl. oz. (30 ml),38 cal,161 kJ
Fruit Juices,Mango Lassi,100ml,66 cal,277 kJ,8 fl. oz. (240 ml),158 cal,665 kJ,1 fl. oz. (30 ml),20 cal,83 kJ
Fruit Juices,Nestea,100ml,21 cal,88 kJ,8 fl. oz. (240 ml),50 cal,211 kJ,1 fl. oz. (30 ml),6 cal,26 kJ
Fruit Juices,Orange Juice,100ml,46 cal,193 kJ,8 fl. oz. (240 ml),110 cal,463 kJ,1 fl. oz. (30 ml),14 cal,58 kJ
Fruit Juices,Papaya Juice,100ml,58 cal,244 kJ,8 fl. oz. (240 ml),139 cal,586 kJ,1 fl. oz. (30 ml),17 cal,73 kJ
Fruit Juices,Passion Fruit Juice,100ml,48 cal,202 kJ,8 fl. oz. (240 ml),115 cal,485 kJ,1 fl. oz. (30 ml),14 cal,61 kJ
Fruit Juices,Peach Juice,100ml,54 cal,227 kJ,8 fl. oz. (240 ml),130 cal,545 kJ,1 fl. oz. (30 ml),16 cal,68 kJ
Fruit Juices,Peach Nectar,100ml,54 cal,227 kJ,8 fl. oz. (240 ml),130 cal,545 kJ,1 fl. oz. (30 ml),16 cal,68 kJ
Fruit Juices,Pear Juice,100ml,60 cal,252 kJ,8 fl. oz. (240 ml),144 cal,605 kJ,1 fl. oz. (30 ml),18 cal,76 kJ
Fruit Juices,Pear Nectar,100ml,60 cal,252 kJ,8 fl. oz. (240 ml),144 cal,605 kJ,1 fl. oz. (30 ml),18 cal,76 kJ
Fruit Juices,Pineapple Juice,100ml,53 cal,223 kJ,8 fl. oz. (240 ml),127 cal,535 kJ,1 fl. oz. (30 ml),16 cal,67 kJ
Fruit Juices,Pineapple Orange Juice,100ml,50 cal,210 kJ,8 fl. oz. (240 ml),120 cal,504 kJ,1 fl. oz. (30 ml),15 cal,63 kJ
Fruit Juices,Plum Juice,100ml,71 cal,298 kJ,8 fl. oz. (240 ml),170 cal,715 kJ,1 fl. oz. (30 ml),21 cal,89 kJ
Fruit Juices,Pomegranate Juice,100ml,66 cal,277 kJ,8 fl. oz. (240 ml),158 cal,665 kJ,1 fl. oz. (30 ml),20 cal,83 kJ
Fruit Juices,Sauerkraut Juice,100ml,14 cal,59 kJ,8 fl. oz. (240 ml),34 cal,142 kJ,1 fl. oz. (30 ml),4 cal,18 kJ
Fruit Juices,Tangerine Juice,100ml,43 cal,181 kJ,8 fl. oz. (240 ml),103 cal,434 kJ,1 fl. oz. (30 ml),13 cal,54 kJ
Fruit Juices,Tomato Juice,100ml,17 cal,71 kJ,8 fl. oz. (240 ml),41 cal,170 kJ,1 fl. oz. (30 ml),5 cal,21 kJ
Fruit Juices,Vegetable Juice,100ml,21 cal,88 kJ,8 fl. oz. (240 ml),50 cal,211 kJ,1 fl. oz. (30 ml),6 cal,26 kJ
Fruit Juices,White Grape Juice,100ml,75 cal,315 kJ,8 fl. oz. (240 ml),180 cal,756 kJ,1 fl. oz. (30 ml),23 cal,95 kJ
Alcoholic Drinks & Beverages,Absinthe,100ml,348 cal,1462 kJ,1 1/2 fl. oz. (44 ml),153 cal,643 kJ,1 fl. oz. (30 ml),104 cal,439 kJ
